name,artist,id,danceability,instrumentalness,energy,loudness,speechiness,acousticness,tempo,liveness,valence
Safe And Sound,Capital Cities,6Z8R6UsFuGXGtiIxiD8ISb,0.655,0.00374,0.819,-4.852,0.0316,0.000176,117.956,0.104,0.766
Here Comes The Sun - Remastered 2009,The Beatles,6dGnYIeXmHdcikdzNNDMm2,0.557,0.00248,0.54,-10.484,0.0347,0.0339,129.171,0.179,0.394
Hey Jude - Remastered 2015,The Beatles,0aym2LBJBk9DAYuHHutrIl,0.386,1.38e-05,0.607,-7.7,0.0261,0.0112,147.207,0.088,0.532
Come Together - Remastered 2009,The Beatles,2EqlS6tkEnglzr7tkKAAYD,0.533,0.248,0.376,-11.913,0.0393,0.0302,165.007,0.0926,0.187
Let It Be - Remastered 2009,The Beatles,7iN1s7xHE4ifF5povM6A48,0.443,0.0,0.403,-8.339,0.0322,0.631,143.462,0.111,0.41
I Want You (She's So Heavy) - Remastered 2009,The Beatles,3Z25k4ZF6QENy2d9YatsM5,0.37,0.205,0.515,-9.487,0.0321,0.0233,115.732,0.0966,0.42
Kangaroo Court,Capital Cities,1leXuBiWQMgbvOIIedqbLB,0.76,0.000679,0.579,-5.079,0.0388,0.00715,99.979,0.0304,0.975
Love Away,Capital Cities,6T5ACM2wNQ0w1OptHMpsCD,0.742,0.000344,0.689,-5.889,0.0495,0.308,90.973,0.389,0.73
Monster,Imagine Dragons,15U1oYrykViB8l4xywoy2Y,0.482,0.000281,0.775,-5.386,0.0841,0.182,179.976,0.109,0.419
Radioactive,Imagine Dragons,4G8gkOterJn0Ywt6uhqbhp,0.448,0.000108,0.784,-3.686,0.0627,0.106,136.245,0.668,0.236
Friction,Imagine Dragons,2iIb73Qn02LsZwpW8RJUxh,0.671,0.0259,0.537,-8.745,0.0358,0.0508,104.007,0.19,0.273
I Bet My Life,Imagine Dragons,15DrrIod12Tc2IoMaHiwlQ,0.553,0.000648,0.657,-8.219,0.0405,0.335,107.889,0.228,0.555
Demons,Imagine Dragons,3LlAyCYU26dvFZBDUIMb7a,0.505,0.00025,0.71,-3.015,0.0321,0.19,89.938,0.329,0.428
On Top Of The World,Imagine Dragons,6Qj1WXW41Mn3Fh9V2sHphM,0.635,4.53e-06,0.926,-5.589,0.151,0.0893,100.048,0.0928,0.761
Hummingbird Heartbeat,Katy Perry,089keBWJUOsI9wUeVr1uIr,0.596,0.0,0.896,-2.946,0.0945,0.00241,121.957,0.0913,0.62
Hot N Cold,Katy Perry,1y4eb6hmAvsqlDOl3fx9kk,0.706,0.0,0.841,-3.956,0.0418,7.95e-05,132.032,0.0688,0.861
Unconditionally,Katy Perry,4fwbGKNExPtPHbor1TBSY4,0.397,0.0,0.725,-4.862,0.043,0.00266,128.861,0.208,0.358
International Smile,Katy Perry,5OzIe9IL95B23n4rN59JZ3,0.514,0.0,0.817,-4.269,0.0482,0.0278,129.98,0.137,0.548
Roar,Katy Perry,6F5c58TMEs1byxUstkzVeM,0.554,6.6e-06,0.772,-4.821,0.0418,0.00487,179.984,0.354,0.455
This Moment,Katy Perry,0NfwNHAyi4s9HVes4JkaXA,0.774,0.0,0.769,-3.798,0.0929,0.118,112.943,0.0938,0.244
"Broken, Beat & Scarred",Metallica,5IpHNGT95ldM7zqYvvCi04,0.323,0.00415,0.982,-1.459,0.0869,4.9e-05,121.895,0.237,0.48
My Apocalypse,Metallica,20hFFeL5QykY9VWeV5RayW,0.262,0.00182,0.993,-1.27,0.199,0.000199,199.915,0.0962,0.279
Blackened,Metallica,0Zx5fEgwEjyljQsuZYPYj8,0.443,0.00277,0.802,-8.965,0.115,7.2e-05,129.034,0.103,0.483
Crystals,Of Monsters and Men,4nnHOJqInr9r8c7RxuiT9j,0.581,0.000442,0.75,-7.211,0.0304,0.00208,132.195,0.109,0.325
Dirty Paws,Of Monsters and Men,1hxq7kWQnwdhxgpEugBMGk,0.359,0.0135,0.648,-7.06,0.035,0.108,111.733,0.0555,0.133
Little Talks,Of Monsters and Men,3a2tuvXCHbW5nuUckuHkKT,0.446,0.0,0.757,-5.177,0.0322,0.0206,102.88,0.146,0.421
"Wonderwall [Live At Wembley Stadium, 2000]",Oasis,6KkH3gz9kGVSkKKm9XNtYf,0.165,0.0113,0.92,-5.013,0.0554,0.0248,94.582,0.982,0.431
"Champagne Supernova [Live At Wembley Stadium, 2000]",Oasis,2VhJ5foC2BgBSlmgj0OZyi,0.135,0.00759,0.888,-4.633,0.0494,0.00341,81.982,0.978,0.125
Ain't It Fun,Paramore,1j8z4TTjJ1YOdoFEDwJTQa,0.61,4.41e-05,0.893,-3.681,0.0921,0.154,104.031,0.021,0.673
Still into You,Paramore,1yjY7rpaAQvKwpdUliHx0d,0.602,0.0,0.923,-3.763,0.044,0.0098,136.01,0.0561,0.765
Misery Business,Paramore,6SpLc7EXZIPpy0sVko0aoU,0.517,9.26e-06,0.906,-3.677,0.0735,0.00272,172.977,0.113,0.731
Give It Away,Red Hot Chili Peppers,1p9MMNzukuxDBtyrtBAwwI,0.666,0.086,0.936,-9.919,0.0476,0.00244,91.577,0.153,0.776
By the Way,Red Hot Chili Peppers,2t0ZYmVXMR36fchq1Egs2d,0.452,0.00631,0.976,-4.349,0.117,0.016,123.035,0.0985,0.178
The Zephyr Song,Red Hot Chili Peppers,2UaJHs6wlASNl7q34j7hK1,0.717,2.39e-05,0.782,-4.086,0.0338,0.0108,117.38,0.0904,0.4
Can't Stop,Red Hot Chili Peppers,4BcS4LomxUnQpzx4hCaJTs,0.62,0.0,0.934,-3.427,0.0411,0.0201,91.234,0.19,0.887
Minor Thing,Red Hot Chili Peppers,0vUTMiXT5ImCASXE8dGnEc,0.426,0.00434,0.949,-3.231,0.0631,0.01,122.241,0.377,0.339
Around the World,Red Hot Chili Peppers,1Y6DGcTCuMAtw8KB3h4W3q,0.51,0.584,0.943,-3.572,0.171,0.00421,96.48,0.062,0.776
Scar Tissue,Red Hot Chili Peppers,2QOMGq8wVTZbLmh7McrvgF,0.437,0.00274,0.717,-4.803,0.039,0.0779,178.085,0.108,0.547
Otherside,Red Hot Chili Peppers,3CeYdUfGPCjKMDYyI1PpCh,0.458,0.000202,0.795,-3.265,0.0574,0.00316,123.229,0.0756,0.513
Look Around,Red Hot Chili Peppers,4RU7rnJBOXCzWmsLDqUaFC,0.56,1.6e-05,0.953,-2.372,0.0851,0.005,111.911,0.226,0.519
Did I Let You Know,Red Hot Chili Peppers,6zgLKcNuXjLjBvb1I61A2c,0.595,6.16e-06,0.94,-2.733,0.0357,0.00432,111.071,0.119,0.845
The Adventures of Rain Dance Maggie,Red Hot Chili Peppers,0PgNhIg5n0UAOBVn43b8b6,0.683,0.0139,0.734,-4.523,0.029,0.00112,106.254,0.258,0.576
Tear in My Heart,Twenty One Pilots,3bnVBN67NBEzedqQuWrpP4,0.655,0.0,0.632,-4.802,0.0489,0.0189,120.113,0.0722,0.447
Different Colors,WALK THE MOON,3RRRDZig4RNJhVGfwwOOFZ,0.48,1.01e-06,0.826,-4.602,0.0397,0.000797,96.0,0.125,0.687
Shut Up and Dance,WALK THE MOON,4kbj5MwxO1bq9wjT5g9HaA,0.578,0.0,0.866,-3.804,0.0619,0.00701,128.038,0.257,0.619
Anna Sun,WALK THE MOON,3e0yTP5trHBBVvV32jwXqF,0.472,0.0,0.844,-6.578,0.054,0.00173,140.034,0.24,0.34
Tightrope,WALK THE MOON,44psOy0D0SP8rcIiUgKgBs,0.467,0.00204,0.794,-6.174,0.0349,8.39e-05,162.435,0.103,0.589
Next Girl,The Black Keys,2UE4m8egf0aREmOi47sDOk,0.383,0.00014,0.748,-6.343,0.0343,0.022,171.568,0.114,0.255
Howlin' for You,The Black Keys,0grFc6klR3hxoHLcgCYsF4,0.705,0.0783,0.735,-6.646,0.0931,0.028,132.627,0.112,0.448
Outta My Mind,The Arcs,4cgDk0IjwdG8w1ArIaqdpq,0.519,7.76e-05,0.737,-6.451,0.0615,0.00936,131.042,0.378,0.763
"Bitch, Donâ€™t Kill My Vibe",Kendrick Lamar,4Pwjz3DfvfQWV0rO2V8jyh,0.587,0.0,0.698,-8.948,0.0943,0.0152,133.954,0.442,0.0985
m.A.A.d city,Kendrick Lamar,439TlnnznSiBbQbgXiBqAd,0.487,4.07e-06,0.729,-6.815,0.271,0.0538,91.048,0.44,0.217
A.D.H.D,Kendrick Lamar,2MYl0er3UZ1RlKwRb5LODh,0.609,0.0,0.799,-6.883,0.24,0.33,157.74,0.108,0.582
Alright,Kendrick Lamar,3iVcZ5G6tvkXZkZKlMpIUs,0.796,0.0,0.766,-5.974,0.238,0.0742,110.034,0.0827,0.558
Wesley's Theory,Kendrick Lamar,7Ks4VCY1wFebnOdJrM13t6,0.509,2.76e-05,0.787,-6.754,0.265,0.359,114.449,0.26,0.507
Jumpman,Drake,27GmP9AWRs744SzKcpJsTZ,0.852,0.0,0.553,-7.286,0.187,0.0563,142.072,0.332,0.656
Hotline Bling,Drake,6nmz4imkDcmtwMjocAzFSx,0.896,0.000258,0.623,-8.008,0.0571,0.00257,134.962,0.039,0.585
Summer Sixteen,Drake,17Q87zeXgsAi9iQQbMu9v0,0.594,2.71e-05,0.46,-7.607,0.382,0.00354,146.274,0.147,0.0541
Big Rings,Drake,7jslhIiELQkgW9IHeYNOWE,0.776,0.0,0.675,-6.224,0.266,0.00196,131.984,0.227,0.271
Back To Back,Drake,5lFDtgWsjRJu8fPOAyJIAK,0.893,0.0,0.48,-3.728,0.356,0.00854,86.976,0.116,0.382
Wet Dreamz,J. Cole,6Ius4TC0L3cN74HT7ENE6e,0.504,0.0,0.705,-8.205,0.364,0.0752,175.483,0.128,0.584
No Role Modelz,J. Cole,62vpWI1CHwFy7tMIcSStl8,0.696,0.0,0.521,-8.465,0.332,0.302,100.0,0.0565,0.458
G.O.M.D.,J. Cole,16qYlQ6koFxYVbiJbGHblz,0.889,8.67e-06,0.393,-10.821,0.267,0.331,128.065,0.283,0.304
A Tale of 2 Citiez,J. Cole,7lL3MvFWFFSD25pBz72Agj,0.559,0.0,0.556,-7.844,0.531,0.553,189.861,0.251,0.362
Apparently,J. Cole,1HNs07uZxZniPNmniw2GTa,0.801,0.0,0.543,-9.236,0.091,0.564,133.982,0.116,0.534
Back In Black,AC/DC,08mG3Y1vljYA6bvDt4Wqkj,0.31,0.00965,0.7,-5.678,0.047,0.011,188.386,0.0828,0.763
Highway to Hell,AC/DC,2zYzyRzz6pRmhPzyfMEC8s,0.573,0.00173,0.913,-4.793,0.132,0.0591,115.715,0.156,0.422
Thunderstruck,AC/DC,57bgtoPSgt236HzfBOd8kj,0.501,0.0114,0.889,-5.175,0.0364,0.000147,133.519,0.217,0.257
You Shook Me All Night Long,AC/DC,6yl8Es1tCYD9WdSkeVLFw4,0.529,0.000685,0.768,-5.51,0.0566,0.00224,127.316,0.297,0.769
T.N.T.,AC/DC,7LRMbd3LEoV5wZJvXT1Lwb,0.754,0.000114,0.759,-5.218,0.302,0.153,126.367,0.101,0.435
Killing In The Name,Rage Against The Machine,59WN2psjkt1tyaxjspN8fp,0.466,0.0,0.833,-4.215,0.304,0.0266,88.785,0.0327,0.661
Bulls On Parade,Rage Against The Machine,0tZ3mElWcr74OOhKEiNz1x,0.412,0.0601,0.919,-7.291,0.184,0.0124,166.367,0.424,0.572
Renegades Of Funk,Rage Against The Machine,5YBVDvTSSSiqv7KZDeUlXA,0.651,0.000579,0.908,-4.019,0.0577,0.00184,123.851,0.384,0.769
Testify,Rage Against The Machine,7lmeHLHBe4nmXzuXc0HDjk,0.47,1.09e-05,0.978,-5.399,0.0727,0.0261,117.906,0.356,0.503
Bombtrack,Rage Against The Machine,2rBHnIxbhkMGLpqmsNX91M,0.459,1.93e-05,0.926,-3.415,0.155,0.0239,151.534,0.183,0.569
Renegades,X Ambassadors,0fYVliAYKHuPmECRs1pbRf,0.526,0.0597,0.862,-6.003,0.0905,0.0144,90.052,0.229,0.528
Safe & Sound - from The Hunger Games Soundtrack,Taylor Swift,0z9UVN8VBHJ9HdfYsOuuNf,0.472,1.04e-05,0.3,-10.807,0.028,0.883,144.317,0.0698,0.289
Eyes Open,Taylor Swift,7wjbSn8QHsxqKXU5M0jXGM,0.598,0.00187,0.724,-7.226,0.0344,0.00667,137.116,0.0839,0.299
Lonely Boy,The Black Keys,3dOAXUx7I1qnzWzxdnsyB8,0.356,0.00975,0.872,-7.837,0.068,0.00417,166.3,0.0997,0.607
Fever,The Black Keys,4MzGM692jKGkNSQ7qzeTaJ,0.609,0.000302,0.674,-6.506,0.0355,0.00378,127.541,0.129,0.743
Gold on the Ceiling,The Black Keys,46iI0binWzpkEJgIWTYUBR,0.505,7.9e-05,0.833,-4.632,0.0475,0.00772,130.121,0.069,0.565
Howlin' for You,The Black Keys,0grFc6klR3hxoHLcgCYsF4,0.705,0.0783,0.735,-6.646,0.0931,0.028,132.627,0.112,0.448
Tighten Up,The Black Keys,2MVwrvjmcdt4MsYYLCYMt8,0.504,4.12e-06,0.705,-6.179,0.0665,0.00121,108.965,0.453,0.567
Seven Nation Army,The White Stripes,3ctoHckjyd13eBi2IDw2Ip,0.75,0.545,0.462,-7.664,0.0779,0.00576,123.865,0.307,0.309
Lazaretto,Jack White,3T76zPJz3tWL27FrjJe2ot,0.381,3.77e-05,0.838,-6.562,0.0709,0.0046,118.214,0.101,0.581
Ain't No Rest for the Wicked,Cage The Elephant,3kb72STxc2959ZqsTwu52i,0.634,0.0,0.849,-7.075,0.105,0.0438,156.004,0.363,0.919
Cigarette Daydreams,Cage The Elephant,2tznHmp70DxMyr2XhWLOW0,0.635,0.0,0.675,-3.445,0.0263,0.0801,113.946,0.0831,0.273
Mess Around,Cage The Elephant,0X0Lz7LwpiIWcdGqVWaxXD,0.423,0.00103,0.931,-5.229,0.0542,0.0122,150.385,0.629,0.605
Trouble,Cage The Elephant,5n0CTysih20NYdT2S0Wpe8,0.47,0.000453,0.623,-5.655,0.0302,0.392,77.861,0.0992,0.298
Come a Little Closer,Cage The Elephant,4sebUbjqbcgDSwG6PbSGI0,0.44,1.01e-06,0.777,-1.786,0.0327,0.0265,148.027,0.151,0.306
Reptilia,The Strokes,57Xjny5yNzAcsxnusKmAfA,0.486,0.789,0.666,-5.084,0.033,0.000563,157.992,0.101,0.741
Someday,The Strokes,7hm4HTk9encxT0LYC0J6oI,0.538,0.0,0.52,-7.46,0.0299,0.00425,106.031,0.367,0.678
You Only Live Once,The Strokes,4fPBB44eDH71YohayI4eKV,0.63,0.592,0.908,-2.42,0.0326,0.0238,120.522,0.116,0.968
Under Cover of Darkness,The Strokes,6u0x5ad9ewHvs3z6u9Oe3c,0.357,0.285,0.775,-3.364,0.054,0.00419,199.853,0.0676,0.589
Last Nite,The Strokes,3SUusuA9jH1v6PVwtYMbdv,0.624,0.000155,0.899,-5.71,0.0295,0.0223,104.055,0.0975,0.797
Do I Wanna Know?,Arctic Monkeys,3jfr0TF6DQcOLat8gGn7E2,0.548,0.000263,0.532,-7.596,0.0323,0.186,85.03,0.217,0.405
Why'd You Only Call Me When You're High?,Arctic Monkeys,2v8X6L6j0kbUPXDZwtXvXU,0.691,1.13e-05,0.631,-6.478,0.0368,0.0483,92.004,0.104,0.8
R U Mine?,Arctic Monkeys,2LlvrdnLa3XbB1b4jYuCnl,0.288,0.0,0.758,-5.692,0.0371,0.00616,97.094,0.303,0.619
Arabella,Arctic Monkeys,2LdG9xtEzCho3jCr58M6cq,0.579,1.26e-06,0.558,-6.986,0.0895,0.0202,179.949,0.212,0.506
Snap Out Of It,Arctic Monkeys,30uJNlHIjfDeE4vr8g9fpf,0.728,0.0,0.638,-6.455,0.0336,0.249,130.014,0.116,0.872
